custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,id
50,blue-collar,married,basic.4y,no,yes,no,cellular,aug,NA,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,21
29,entrepreneur,single,university.degree,no,no,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,22
47,technician,divorced,high.school,no,no,no,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,23
28,blue-collar,single,basic.4y,no,no,no,telephone,may,tue,7,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,24
53,blue-collar,married,NA,no,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,25
30,admin.,single,NA,no,no,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,999,0,26
29,admin.,single,NA,no,yes,no,cellular,jul,NA,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,27
30,blue-collar,married,unknown,no,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,28
NA,admin.,married,high.school,no,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999,0,29
29,technician,married,professional.course,no,yes,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0,30
NA,blue-collar,single,basic.4y,unknown,yes,no,cellular,may,NA,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,999,0,31
63,technician,married,unknown,no,no,no,cellular,aug,tue,1,999,1,failure,-2.9,92.201,-31.4,0.838,5076.2,999,2,32
NA,admin.,single,high.school,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,33
NA,services,single,high.school,unknown,yes,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,34
NA,admin.,married,NA,no,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,35
19,student,single,unknown,no,yes,yes,cellular,apr,fri,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,36
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,6,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,37
52,admin.,married,high.school,no,yes,no,cellular,nov,wed,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,999,0,38
56,services,married,high.school,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,39
NA,blue-collar,single,NA,no,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,40
NA,blue-collar,divorced,basic.6y,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0,41
NA,unknown,married,unknown,no,yes,yes,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,999,0,42
31,services,single,high.school,no,yes,no,cellular,jul,thu,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,43
40,management,divorced,university.degree,unknown,yes,yes,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,44
NA,technician,married,NA,no,no,no,telephone,may,tue,10,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,45
42,blue-collar,divorced,basic.4y,no,no,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,46
NA,blue-collar,married,NA,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,47
38,technician,single,professional.course,no,no,no,cellular,apr,mon,6,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,48
49,services,married,NA,no,no,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,49
40,admin.,divorced,university.degree,no,no,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0,50
28,admin.,divorced,university.degree,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,999,0,51
36,services,married,high.school,no,yes,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0,52
34,admin.,single,high.school,no,unknown,unknown,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0,53
51,blue-collar,married,basic.4y,unknown,no,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,999,2,54
NA,blue-collar,single,professional.course,no,no,no,cellular,may,tue,1,999,1,failure,-1.8,93.876,-40,0.668,5008.7,999,3,55
25,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,56
25,blue-collar,married,basic.9y,no,no,no,telephone,may,NA,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,57
38,technician,married,NA,unknown,no,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,58
39,blue-collar,single,NA,unknown,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,59
NA,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0,60
35,admin.,married,NA,no,no,yes,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,61
56,retired,married,high.school,unknown,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,62
33,blue-collar,married,NA,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,63
41,admin.,single,university.degree,no,yes,yes,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,64
28,admin.,single,university.degree,no,yes,no,telephone,jun,thu,6,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0,65
32,technician,married,university.degree,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,999,0,66
30,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,67
56,management,married,NA,no,yes,no,cellular,jun,wed,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999,0,68
59,retired,married,unknown,no,no,no,cellular,aug,wed,2,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2,999,4,69
46,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,70
NA,admin.,married,NA,no,yes,yes,telephone,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,71
35,entrepreneur,married,NA,unknown,yes,yes,telephone,may,NA,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,72
40,admin.,married,university.degree,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,73
51,blue-collar,married,professional.course,no,no,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,74
NA,services,single,professional.course,no,yes,no,cellular,jun,tue,1,999,2,failure,-2.9,92.963,-40.8,1.262,5076.2,999,4,75
57,technician,divorced,basic.6y,no,unknown,unknown,cellular,may,mon,5,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,76
53,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0,77
43,unemployed,married,NA,no,no,no,telephone,aug,tue,12,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,78
NA,management,married,high.school,no,yes,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,999,0,79
53,management,married,NA,no,yes,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,999,1,80
NA,admin.,single,high.school,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,81
33,admin.,married,basic.9y,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,82
30,admin.,married,high.school,unknown,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,999,0,83
51,blue-collar,married,unknown,unknown,no,yes,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,84
45,blue-collar,married,NA,unknown,no,no,cellular,aug,NA,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999,0,85
50,admin.,divorced,basic.9y,no,yes,yes,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,86
33,admin.,single,university.degree,no,no,yes,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,87
NA,technician,married,high.school,no,yes,yes,cellular,aug,NA,6,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999,0,88
29,technician,single,professional.course,no,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,89
33,blue-collar,married,NA,unknown,no,yes,cellular,apr,mon,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,999,6,90
43,blue-collar,married,basic.6y,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,91
NA,admin.,married,university.degree,no,no,no,telephone,jun,thu,4,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0,92
40,admin.,divorced,professional.course,unknown,no,no,telephone,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,999,0,93
NA,admin.,married,NA,no,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,94
NA,blue-collar,single,NA,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,95
55,admin.,divorced,university.degree,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,96
28,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,97
51,unemployed,divorced,university.degree,no,no,no,cellular,nov,thu,6,999,1,failure,-0.1,93.2,-42,4.076,5195.8,999,1,98
49,management,married,university.degree,no,no,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,99
31,unemployed,single,NA,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,100
38,admin.,divorced,NA,no,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,999,0,101
NA,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,102
NA,admin.,divorced,high.school,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,103
33,admin.,single,NA,no,yes,yes,cellular,aug,NA,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,104
NA,management,married,NA,no,yes,no,cellular,nov,mon,3,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,105
NA,blue-collar,married,NA,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,106
42,blue-collar,married,basic.4y,no,no,no,telephone,jun,tue,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,107
39,blue-collar,single,NA,unknown,yes,no,cellular,may,NA,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,999,0,108
NA,technician,divorced,professional.course,unknown,no,yes,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,109
36,blue-collar,married,basic.6y,no,yes,no,cellular,may,tue,5,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,999,0,110
35,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,111
47,admin.,married,university.degree,no,no,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0,112
77,retired,married,NA,no,yes,no,cellular,sep,thu,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,999,0,113
32,technician,single,university.degree,no,no,no,cellular,jul,wed,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,114
48,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,999,0,115
52,services,married,basic.6y,no,yes,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,999,0,116
NA,unemployed,married,high.school,no,no,no,cellular,jul,mon,7,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,117
NA,unemployed,married,high.school,no,no,yes,telephone,may,wed,12,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,118
37,services,married,high.school,no,no,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,119
47,technician,married,NA,no,yes,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,120
56,blue-collar,married,basic.4y,unknown,no,no,telephone,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,121
NA,technician,married,high.school,no,no,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,122
43,admin.,married,high.school,no,yes,no,cellular,may,mon,4,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,0.1,2,123
38,admin.,divorced,basic.9y,no,no,no,cellular,oct,NA,2,999,3,failure,-1.1,94.601,-49.5,1.016,4963.6,999,3,124
42,blue-collar,single,basic.4y,no,no,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,125
29,blue-collar,married,NA,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,126
36,services,single,high.school,unknown,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,127
35,unemployed,single,NA,no,yes,yes,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,128
NA,management,married,university.degree,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,129
40,blue-collar,married,high.school,unknown,yes,no,telephone,may,NA,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,130
31,technician,married,professional.course,no,no,yes,cellular,nov,fri,5,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,131
50,blue-collar,married,NA,unknown,yes,no,cellular,jul,NA,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,132
25,student,single,NA,no,yes,yes,telephone,jun,NA,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999,0,133
NA,management,married,NA,no,yes,no,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,134
40,management,married,university.degree,no,yes,no,cellular,apr,NA,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,999,2,135
46,unknown,single,unknown,unknown,yes,no,cellular,dec,mon,1,6,1,success,-3,92.713,-33,0.706,5023.5,0.2,1,136
NA,blue-collar,married,high.school,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,137
32,blue-collar,married,basic.6y,no,yes,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,138
NA,admin.,married,NA,no,yes,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,139
33,services,married,high.school,no,no,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,140
36,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,141
NA,services,married,NA,no,yes,no,telephone,may,NA,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,142
NA,technician,divorced,NA,no,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,143
34,services,married,NA,no,yes,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0,144
NA,technician,married,professional.course,no,no,no,telephone,may,NA,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,145
43,entrepreneur,single,university.degree,no,no,yes,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,146
34,admin.,single,NA,no,no,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,147
70,retired,married,NA,no,yes,no,cellular,may,thu,1,3,2,success,-1.8,93.876,-40,0.683,5008.7,0.1,0,148
50,management,married,university.degree,no,no,no,cellular,nov,thu,1,999,1,failure,-0.1,93.2,-42,4.076,5195.8,999,2,149
32,technician,single,NA,no,no,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,150
36,technician,married,professional.course,no,no,no,telephone,may,wed,10,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,151
52,admin.,married,university.degree,unknown,no,yes,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0,152
45,blue-collar,married,professional.course,no,no,no,cellular,oct,tue,1,999,0,nonexistent,-3.4,92.431,-26.9,0.744,5017.5,999,0,153
46,management,married,basic.9y,no,yes,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,154
34,technician,married,university.degree,no,yes,yes,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,155
NA,services,married,high.school,no,yes,no,cellular,may,NA,12,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0,156
30,blue-collar,married,NA,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,157
NA,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,158
60,admin.,married,NA,unknown,yes,no,cellular,dec,wed,1,999,0,nonexistent,-3,92.713,-33,0.721,5023.5,999,0,159
34,blue-collar,married,professional.course,no,yes,no,cellular,may,fri,4,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,999,3,160
55,admin.,married,high.school,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0,161
NA,services,married,high.school,no,yes,no,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,999,0,162
36,management,married,university.degree,no,yes,no,cellular,may,NA,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0,163
NA,management,married,high.school,no,yes,no,telephone,jun,NA,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999,0,164
NA,admin.,single,high.school,no,no,no,cellular,apr,mon,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,165
NA,services,married,high.school,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,166
NA,technician,single,high.school,no,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,167
NA,admin.,married,professional.course,no,no,yes,telephone,mar,thu,2,999,1,failure,-1.8,93.369,-34.8,0.654,5008.7,999,2,168
NA,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,999,0,169
37,admin.,married,university.degree,no,no,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999,0,170
55,admin.,married,NA,unknown,no,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,171
NA,blue-collar,married,professional.course,no,no,no,cellular,aug,fri,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0,172
46,unemployed,married,NA,no,no,no,cellular,jun,NA,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,999,0,173
30,self-employed,single,university.degree,no,yes,no,cellular,sep,tue,1,999,0,nonexistent,-3.4,92.379,-29.8,0.788,5017.5,999,0,174
34,management,single,university.degree,no,yes,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,999,0,175
32,blue-collar,married,basic.9y,no,yes,no,telephone,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0,176
NA,services,divorced,high.school,no,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999,0,177
40,blue-collar,married,NA,unknown,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,178
28,services,single,high.school,no,yes,no,cellular,may,mon,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,179
NA,admin.,single,NA,no,yes,yes,telephone,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,180
34,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,tue,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,181
50,unemployed,married,professional.course,no,no,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,182
NA,housemaid,married,basic.4y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,183
40,admin.,married,university.degree,no,yes,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,184
48,admin.,married,university.degree,no,yes,no,cellular,nov,wed,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,999,3,185
40,technician,single,professional.course,no,yes,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.259,5099.1,999,1,186
28,admin.,married,high.school,no,yes,no,telephone,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,999,0,187
45,admin.,married,NA,no,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,188
58,retired,married,basic.4y,no,yes,no,cellular,jun,tue,2,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,999,0,189
40,admin.,married,university.degree,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,999,0,190
50,admin.,single,NA,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,191
39,technician,divorced,NA,no,yes,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0,192
30,blue-collar,single,NA,unknown,yes,no,cellular,apr,mon,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,193
NA,services,divorced,university.degree,no,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,194
47,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,2,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,999,1,195
58,retired,divorced,basic.4y,unknown,yes,no,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,196
NA,entrepreneur,married,basic.6y,unknown,unknown,unknown,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,197
32,admin.,single,high.school,no,no,no,cellular,aug,tue,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,198
45,management,married,university.degree,unknown,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,199
